Name,Website,Location,Industry,Team Size,Batch,Status
PlanGrid,http://plangrid.com,"San Francisco, CA, USA",Real Estate and Construction,355,Winter 2012,Acquired
Gusto,https://gusto.com,"San Francisco, CA, USA",B2B,2400,Winter 2012,Active
Matterport,http://matterport.com,"San Francisco, CA, USA; Sunnyvale, CA, USA",Consumer,201,Winter 2012,Public
Amplitude,https://amplitude.com,"San Francisco, CA, USA",B2B,750,Winter 2012,Public
Sendwave,https://www.sendwave.com,"Boston, MA, USA; Remote",Fintech,350,Winter 2012,Acquired
